day_of_year,date,year,month,day,min_temp,max_temp,avg_temp,rain,snow,at_obs,total_rides,female_rides,male_rides,subscriber_rides,customer_rides,total_seconds,female_seconds,male_seconds,subscriber_seconds,customer_seconds,miles,female_miles,male_miles,subscriber_miles,customer_miles
110,20140420,2014,04,20,79,41,60.0,0.00,0.0,0,10028,841,2118,2959,7069,15287524,786300,1737153,2523453,12764071,11958.16,1039.4,2535.05,3574.45,8383.71
111,20140421,2014,04,21,74,58,66.0,0,0.0,0,6410,915,3649,4564,1846,6013896,704412,2463396,3167808,2846088,7534.05,1175.66,4155.96,5331.62,2202.43
112,20140422,2014,04,22,61,36,48.5,0.00,0.0,0,6207,1021,3912,4936,1271,5268692,830646,2564702,3397198,1871494,7335.35,1284.82,4437.38,5724.19,1611.16
113,20140423,2014,04,23,51,33,42.0,0.02,0.0,0,5456,916,3716,4632,824,4139249,736439,2283335,3019774,1119475,6443.34,1191.62,4159.02,5350.64,1092.7
114,20140424,2014,04,24,64,39,51.5,0.06,0.0,0,5699,917,3831,4748,951,4844071,671241,2528766,3200007,1644064,6696.28,1147.48,4310.45,5457.93,1238.35
115,20140425,2014,04,25,70,45,57.5,0.22,0.0,0,8976,1239,4445,5684,3292,10114219,1115781,3196352,4312133,5802086,11053.92,1611.17,5173.75,6784.92,4269.0
116,20140426,2014,04,26,57,40,48.5,0.00,0.0,0,5902,736,2162,2898,3004,7038029,580769,1500310,2081079,4956950,6964.6,859.72,2421.73,3281.45,3683.15
117,20140427,2014,04,27,60,42,51.0,0.03,0.0,0,3796,614,1695,2309,1487,3859709,524391,1121555,1645946,2213763,4337.45,750.65,1867.64,2618.29,1719.16
118,20140428,2014,04,28,55,45,50.0,0.61,0.0,0,2732,389,2057,2446,286,1847594,293531,1144908,1438439,409155,2856.05,450.07,2071.54,2521.61,334.44
119,20140429,2014,04,29,59,47,53.0,0.61,0.0,0,5195,892,3687,4579,616,3944430,771069,2277263,3048332,896098,6032.25,1125.69,4160.42,5286.11,746.14
120,20140430,2014,04,30,53,43,48.0,0.01,0.0,0,5181,877,3809,4686,495,3724553,652162,2394396,3046558,677995,5996.44,1063.35,4284.93,5348.28,648.16
121,20140501,2014,05,01,49,42,45.5,0.09,0.0,0,3296,531,2511,3042,254,2156795,386626,1396192,1782818,373977,3470.09,615.08,2519.82,3134.9,335.19
122,20140502,2014,05,02,53,46,49.5,0,0.0,0,5403,895,3651,4546,857,4677577,755298,2395361,3150659,1526918,6225.13,1088.47,4106.18,5194.65,1030.48
123,20140503,2014,05,03,67,46,56.5,0.00,0.0,0,9264,1111,2804,3915,5349,13023248,1006490,2139090,3145580,9877668,12029.85,1428.9,3409.34,4838.24,7191.61
124,20140504,2014,05,04,58,44,51.0,0.00,0.0,0,4940,662,1838,2500,2440,5683686,490883,1176436,1667319,4016367,5842.48,751.28,2004.75,2756.03,3086.45
125,20140505,2014,05,05,55,43,49.0,0.05,0.0,0,5586,853,3773,4626,960,4580930,682950,2338777,3021727,1559203,6309.95,1065.74,4078.73,5144.47,1165.48
126,20140506,2014,05,06,63,41,52.0,0.00,0.0,0,7036,1190,4523,5713,1323,5904524,960876,2980150,3941026,1963498,8495.08,1582.36,5204.71,6787.07,1708.01
127,20140507,2014,05,07,78,48,63.0,0,0.0,0,7491,1264,4656,5920,1571,7177589,1181425,3044650,4226075,2951514,8885.58,1596.26,5365.96,6962.22,1923.36
128,20140508,2014,05,08,89,51,70.0,0.10,0.0,0,10058,1574,5420,6994,3064,10430189,1367331,3897507,5264838,5165351,12445.53,2087.08,6441.46,8528.54,3916.99
129,20140509,2014,05,09,73,54,63.5,1.03,0.0,0,7053,1027,3938,4965,2088,7600975,986575,2900053,3886628,3714347,8623.67,1346.91,4543.2,5890.11,2733.56
130,20140510,2014,05,10,77,47,62.0,0.00,0.0,0,12879,1518,3429,4947,7932,18131142,1409228,2802586,4211814,13919328,16694.37,1946.36,4240.94,6187.3,10507.07
131,20140511,2014,05,11,81,52,66.5,0.12,0.0,0,8360,900,2134,3034,5326,12329923,846872,1819980,2666852,9663071,10354.55,1145.22,2516.9,3662.12,6692.43
132,20140512,2014,05,12,84,64,74.0,2.09,0.0,0,8193,1287,4579,5866,2327,8284843,1126723,3146964,4273687,4011156,9845.59,1674.72,5309.82,6984.54,2861.05
133,20140513,2014,05,13,67,52,59.5,0.12,0.0,0,6536,1075,4280,5355,1181,5237827,808230,2657765,3465995,1771832,7600.99,1311.2,4785.57,6096.77,1504.22
134,20140514,2014,05,14,56,44,50.0,0.02,0.0,0,6684,1195,4409,5604,1080,5374436,976431,2829245,3805676,1568760,7867.36,1519.39,5002.3,6521.69,1345.67
135,20140515,2014,05,15,55,40,47.5,0.19,0.0,0,4399,679,3048,3727,672,3226737,455329,1863566,2318895,907842,4822.43,757.46,3271.04,4028.5,793.93
136,20140516,2014,05,16,46,37,41.5,0.10,0.0,0,3775,606,2756,3362,413,2711303,439186,1757989,2197175,514128,4169.66,711.3,2938.41,3649.71,519.95
137,20140517,2014,05,17,60,39,49.5,0.00,0.0,0,7430,1083,2712,3795,3635,8887601,888090,1917478,2805568,6082033,9209.68,1329.3,3182.03,4511.33,4698.35
138,20140518,2014,05,18,69,47,58.0,0.00,0.0,0,11164,1358,3168,4526,6638,15451566,1290467,2562241,3852708,11598858,14429.1,1753.1,3783.01,5536.11,8892.99
139,20140519,2014,05,19,69,45,57.0,0,0.0,0,9639,1438,5096,6534,3105,9966513,1172723,3548171,4720894,5245619,12031.65,1892.99,6120.05,8013.04,4018.61
140,20140520,2014,05,20,85,62,73.5,0.82,0.0,0,10551,1701,5501,7202,3349,11465426,1483156,4045538,5528694,5936732,13471.74,2253.84,6669.78,8923.62,4548.12
141,20140521,2014,05,21,86,63,74.5,0.01,0.0,0,11208,1897,6042,7940,3268,11652884,1706507,4494063,6201003,5451881,14237.98,2463.27,7404.13,9868.02,4369.96
142,20140522,2014,05,22,70,53,61.5,0.00,0.0,0,10135,1634,5738,7372,2763,9820827,1380553,4013307,5393860,4426967,12765.37,2123.86,7017.83,9141.69,3623.68
143,20140523,2014,05,23,69,48,58.5,0.00,0.0,0,10767,1620,5311,6931,3836,11090928,1390736,3768327,5159063,5931865,13512.89,2080.13,6377.65,8457.78,5055.11
144,20140524,2014,05,24,74,47,60.5,0.00,0.0,0,12922,1319,2899,4218,8704,18588703,1148541,2284283,3432824,15155879,16543.79,1681.88,3538.61,5220.49,11323.3
145,20140525,2014,05,25,83,50,66.5,0.00,0.0,0,16391,1282,3017,4299,12092,28325187,1236786,2558916,3795702,24529485,22024.98,1747.87,3848.81,5596.68,16428.3
146,20140526,2014,05,26,87,61,74.0,0.00,0.0,0,12865,1186,2747,3933,8932,20326052,1150089,2335870,3485959,16840093,16397.35,1483.28,3283.61,4766.89,11630.46
147,20140527,2014,05,27,85,58,71.5,0.21,0.0,0,8495,1414,4667,6081,2414,8453180,1315876,3144427,4460303,3992877,10446.88,1842.48,5468.13,7310.61,3136.27
148,20140528,2014,05,28,71,56,63.5,0.03,0.0,0,8511,1541,5267,6808,1703,7501198,1362764,3568662,4931426,2569772,10438.49,2050.47,6208.19,8258.66,2179.83
149,20140529,2014,05,29,76,54,65.0,0.00,0.0,0,10249,1805,5735,7540,2709,9788343,1535994,4048545,5584539,4203804,12860.9,2387.64,6968.08,9355.72,3505.18
150,20140530,2014,05,30,79,53,66.0,0.00,0.0,0,12016,1874,6042,7916,4100,13174871,1625351,4512847,6138198,7036673,15639.46,2543.28,7463.03,10006.31,5633.15
151,20140531,2014,05,31,88,54,71.0,0.00,0.0,0,15449,1951,4144,6095,9354,21777868,1872000,3457293,5329293,16448575,20946.13,2554.75,5263.24,7817.99,13128.14
152,20140601,2014,06,01,90,63,76.5,0,0.0,0,13519,1609,3791,5400,8119,19075242,1432176,3030673,4462849,14612393,17614.62,2060.44,4695.98,6756.42,10858.2
153,20140602,2014,06,02,83,68,75.5,0.14,0.0,0,9691,1803,5305,7108,2583,9806367,1523935,3859952,5383887,4422480,12070.38,2371.4,6312.81,8684.21,3386.17
154,20140603,2014,06,03,81,66,73.5,0.00,0.0,0,12590,2120,6205,8325,4265,13603295,1777221,4561929,6339150,7264145,16563.28,2950.35,7781.79,10732.14,5831.14
155,20140604,2014,06,04,70,55,62.5,0.19,0.0,0,6239,1106,3969,5075,1164,5516488,1010374,2736402,3746776,1769712,7580.4,1443.39,4635.89,6079.28,1501.12
156,20140605,2014,06,05,76,52,64.0,0.00,0.0,0,11896,2130,6328,8458,3438,12006335,1864329,4548868,6413197,5593138,15558.95,2943.3,7934.48,10877.78,4681.17
157,20140606,2014,06,06,81,49,65.0,0.00,0.0,0,13993,2185,6579,8764,5229,15447518,1859978,4792731,6652709,8794809,18288.19,2874.05,8107.24,10981.29,7306.9
158,20140607,2014,06,07,84,57,70.5,0.08,0.0,0,15582,2080,4175,6255,9327,21254802,1910180,3375940,5286120,15968682,20985.18,2761.42,5329.4,8090.82,12894.36
