day_of_year,day_of_week,date,year,month,day,min_temp,max_temp,avg_temp,rain,snow,at_obs,rides_total,female_rides,male_rides,subscriber_rides,customer_rides,total_seconds,female_seconds,male_seconds,subscriber_seconds,customer_seconds
2,Thu,20140102,2014,01,02,21,-1,10.0,0.22,5.8,6,112,13,99,112,0,77666,10304,67362,77666,0
33,Sun,20140202,2014,02,02,21,-1,10.0,0.0,0.0,6,401,60,307,367,34,286656,39834,204044,243878,42778
43,Wed,20140212,2014,02,12,24,-5,9.5,0.0,0.0,12,1281,148,1109,1257,24,1003353,105264,866913,972177,31176
57,Wed,20140226,2014,02,26,18,1,9.5,0.0,0.0,2,1139,147,969,1116,23,631112,112557,492674,605231,25881
62,Mon,20140303,2014,03,03,19,-2,8.5,0.0,0.0,6,963,103,815,918,45,670687,66539,541663,608202,62485
22,Wed,20140122,2014,01,22,15,0,7.5,0.0,0.6,5,923,110,801,911,12,564957,62145,465672,527817,37140
34,Mon,20140203,2014,02,03,21,-6,7.5,0.0,0.0,6,1212,142,1054,1196,16,885553,95223,770249,865472,20081
61,Sun,20140302,2014,03,02,14,1,7.5,0.09,1.4,6,329,53,267,320,9,237747,38292,155864,194156,43591
21,Tue,20140121,2014,01,21,13,0,6.5,0.07,2.5,6,877,112,750,862,15,577512,139882,425639,565521,11991
37,Thu,20140206,2014,02,06,14,-2,6.0,0.0,0.0,12,735,76,650,726,9,633785,96787,524066,620853,12932
8,Wed,20140108,2014,01,08,17,-6,5.5,0.0,0.0,10,0,0,0,0,0,0,0,0,0,0
41,Mon,20140210,2014,02,10,12,-3,4.5,0.0,0.0,13,882,74,799,873,9,745497,191242,547642,738884,6613
3,Fri,20140103,2014,01,03,20,-12,4.0,0.0,0.0,8,6,1,5,6,0,3503,253,3250,3503,0
38,Fri,20140207,2014,02,07,11,-4,3.5,0.0,0.0,11,735,72,658,730,5,490930,45930,442705,488635,2295
42,Tue,20140211,2014,02,11,14,-8,3.0,0.0,0.0,12,1075,93,952,1045,30,771355,68058,667463,735521,35834
23,Thu,20140123,2014,01,23,10,-5,2.5,0.0,0.0,5,924,110,793,903,21,526681,65711,443470,509181,17500
27,Mon,20140127,2014,01,27,6,-7,-0.5,0.0,0.0,4,406,42,362,404,2,216016,30608,183043,213651,2365
28,Tue,20140128,2014,01,28,3,-11,-4.0,0.0,0.0,3,451,40,403,443,8,299772,24261,270145,294406,5366
7,Tue,20140107,2014,01,07,3,-12,-4.5,0.0,0.0,10,0,0,0,0,0,0,0,0,0,0
6,Mon,20140106,2014,01,06,-2,-16,-9.0,0.0,0.0,11,1,0,1,1,0,393,0,393,393,0
